127.0.0.1 - - [23/Jan/2021:03:39:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:39:02 +0900] "GET /matjib/index.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:39:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:39:03 +0900] "GET /matjib/main/template.html;jsessionid=D0C41A963599A4BBEBD40DD741E2A643 HTTP/1.1" 200 6394
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:39:03 +0900] "GET /matjib/img/Ranking_main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:39:06 +0900] "GET /matjib/jsp/userentry.html HTTP/1.1" 200 4866
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:39:10 +0900] "GET /matjib/entry/managerlUser.html HTTP/1.1" 200 12158
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:40:17 +0900] "POST /matjib/entry/managerlUser.html HTTP/1.1" 200 6394
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:40:18 +0900] "GET /matjib/login/login.html HTTP/1.1" 200 6289
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:40:22 +0900] "POST /matjib/login/main.html HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:40:23 +0900] "GET /matjib/login/login.html HTTP/1.1" 200 6289
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:40:26 +0900] "POST /matjib/login/main.html HTTP/1.1" 200 6668
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:40:27 +0900] "GET /matjib/jsp/storedetail.html HTTP/1.1" 200 16850
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:40:27 +0900] "GET /matjib/jsp/resources/js/jquery-3.5.1.min.js HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:40:27 +0900] "GET /matjib/css/store_regist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:40:27 +0900] "GET /matjib/jsp/resources/js/jquery-3.5.1.min.js HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:41:55 +0900] "POST /matjib/store/addStore.html HTTP/1.1" 200 6668
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:41:57 +0900] "GET /matjib/main/category.html HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:41:58 +0900] "GET /matjib/category/chinese.html HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:41:58 +0900] "GET /matjib/image/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%20(1).jfif HTTP/1.1" 200 24944
